画面质量_通用增强,构图_画面组织,镜头感_视角类,光照类,细节_质感类,空间_景深_层次,氛围_情绪类,动势_视觉能量,干净度_背景控制,真实感_一致性控制,其他,摄影视角,光影效果,面相,人物姿态,眼神,人物动作,场景环境,天气
high quality,centered composition,eye-level view,soft lighting,delicate texture,sense of depth,calm atmosphere,dynamic energy,clean background,natural appearance,aesthetically pleasing,Close-Up,Soft Lighting,Gentle and Graceful,Running,Piercing Gaze,in motion,minimal interior space,daytime scene
best quality,balanced framing,slightly elevated view,even lighting,fine texture,strong depth,serene mood,visual rhythm,simplified background,visual consistency,visually striking,Medium Shot,Hard Lighting,Heroic and Dignified,Hands on Hips,Soft and Gentle Eyes,calm and still,industrial interior,nighttime scene
ultra detailed,symmetrical balance,slightly low angle,diffused lighting,rich surface detail,layered depth,quiet mood,subtle motion,uncluttered background,coherent details,elegant presentation,Wide Shot,Backlighting,Majestic and Commanding,Kneeling,Cold and Emotionless Eyes,slightly tilted,clean studio environment,early morning light
highly detailed,asymmetrical balance,frontal view,gentle highlights,tactile quality,foreground separation,subtle tension,natural flow,minimal distractions,consistent lighting,strong readability,Over-the-Shoulder Shot,Rim Lighting,Serene and Unyielding,Reaching Out,Curious Eyes,leaning forward,workshop setting,late afternoon light
fine details,clean composition,three-quarter view,natural light,subtle texture variation,background separation,gentle mood,fluid composition,clean separation,consistent shading,enhanced clarity,Dutch Angle,Ambient Lighting,Mischievous and Playful,Arms Raised,Tired Eyes,leaning back,corridor with depth,dusk atmosphere
rich details,organized layout,dynamic perspective,ambient light,smooth surfaces,atmospheric depth,immersive mood,graceful movement,tidy composition,realistic depth cues,carefully composed,Low Angle,High Contrast Lighting,Stoic and Resolute,Hands Clasped,Playful Eyes,turning to the side,room with large windows,dawn atmosphere
sharp details,strong focal point,natural perspective,balanced illumination,detailed surfaces,spatial clarity,elegant atmosphere,dynamic balance,reduced clutter,believable form,richly layered,Aerial Shot,Low Key Lighting,Cunning and Shrewd,Crouching,Haunted Eyes,approaching the viewer,cluttered desk environment,clear sky conditions
crisp image,clear subject separation,balanced perspective,subtle shadows,clean edges,dimensional composition,dreamy atmosphere,directional flow,focused scene,natural transitions,subtle refinement,Point of View (POV),High Key Lighting,Confident and Charismatic,Lying Down,Intense Eyes,hovering,reflective floor interior,overcast conditions
clean image,layered composition,immersive framing,soft shadows,precise contours,visual depth,soft atmosphere,energetic arrangement,visual cleanliness,cohesive rendering,premium look,,Dramatic Lighting,Sorrowful and Melancholic,Head Tilted,Sad Eyes,floating,gallery-like interior,light rain
polished,spacious composition,intimate framing,clean highlights,refined textures,depth contrast,airy atmosphere,visual momentum,isolated emphasis,stable structure,tasteful presentation,,Golden Hour Lighting,Joyful and Radiant,Hands in Pockets,Fiery Eyes,suspended in the air,warehouse interior,heavy rain
